2023-01-01	3	/-6℃	3%
2023-01-02	2	/-7℃	7%
2023-01-03	0	/-7℃	13%
2023-01-04	0	/-10℃	10%
2023-01-05	-1	/-11℃	10%
2023-01-06	0	/-9℃	17%
2023-01-07	-2	/-8℃	7%
2023-01-08	0	/-7℃	7%
2023-01-09	-1	/-9℃	3%
2023-01-10	0	/-10℃	3%
2023-01-11	1	/-8℃	10%
2023-01-12	0	/-9℃	7%
2023-01-13	0	/-9℃	3%
2023-01-14	1	/-8℃	10%
2023-01-15	2	/-8℃	3%
2023-01-16	1	/-8℃	0%
2023-01-17	0	/-7℃	7%
2023-01-18	2	/-8℃	10%
2023-01-19	2	/-5℃	0%
2023-01-20	3	/-4℃	3%
2023-01-21	1	/-8℃	3%
2023-01-22	1	/-9℃	13%
2023-01-23	1	/-8℃	7%
2023-01-24	1	/-7℃	3%
2023-01-25	4	/-9℃	3%
2023-01-26	2	/-9℃	7%
2023-01-27	2	/-7℃	3%
2023-01-28	4	/-5℃	3%
2023-01-29	2	/-8℃	7%
2023-01-30	2	/-6℃	0%
2023-01-31	4	/-5℃	0%
2023-02-01	4	/-5℃	3%
2023-02-02	3	/-7℃	0%
2023-02-03	4	/-6℃	0%
2023-02-04	3	/-7℃	3%
2023-02-05	3	/-6℃	3%
2023-02-06	1	/-6℃	10%
2023-02-07	3	/-7℃	7%
2023-02-08	-1	/-8℃	7%
2023-02-09	3	/-7℃	3%
2023-02-10	2	/-7℃	0%
2023-02-11	0	/-8℃	7%
2023-02-12	1	/-8℃	7%
2023-02-13	2	/-7℃	10%
2023-02-14	3	/-6℃	13%
2023-02-15	2	/-7℃	7%
2023-02-16	3	/-6℃	17%
2023-02-17	3	/-4℃	17%
2023-02-18	4	/-6℃	17%
2023-02-19	4	/-6℃	13%
2023-02-20	8	/-5℃	13%
2023-02-21	7	/-4℃	10%
2023-02-22	7	/-3℃	10%
2023-02-23	7	/-3℃	13%
2023-02-24	8	/-1℃	3%
2023-02-25	8	/-1℃	7%
2023-02-26	6	/-2℃	3%
2023-02-27	6	/-2℃	7%
2023-02-28	7	/-2℃	13%
2023-03-01	8	/-2℃	10%
2023-03-02	6	/-3℃	3%
2023-03-03	7	/-2℃	7%
2023-03-04	8	/0℃	10%
2023-03-05	10	/-1℃	3%
2023-03-06	9	/1℃	3%
2023-03-07	9	/-1℃	0%
2023-03-08	10	/0℃	13%
2023-03-09	6	/-2℃	3%
2023-03-10	10	/-3℃	7%
2023-03-11	11	/-1℃	7%
2023-03-12	11	/2℃	13%
2023-03-13	11	/0℃	10%
2023-03-14	13	/3℃	13%
2023-03-15	10	/0℃	13%
2023-03-16	12	/2℃	17%
2023-03-17	13	/2℃	7%
2023-03-18	13	/4℃	7%
2023-03-19	11	/2℃	13%
2023-03-20	10	/3℃	27%
2023-03-21	11	/2℃	20%
2023-03-22	14	/3℃	10%
2023-03-23	14	/3℃	13%
2023-03-24	14	/3℃	20%
2023-03-25	14	/2℃	3%
2023-03-26	15	/3℃	3%
2023-03-27	17	/6℃	7%
2023-03-28	18	/6℃	17%
2023-03-29	18	/6℃	17%
2023-03-30	18	/6℃	17%
2023-03-31	17	/7℃	13%
2023-04-01	17	/7℃	20%
2023-04-02	16	/6℃	13%
2023-04-03	16	/4℃	10%
2023-04-04	19	/5℃	3%
2023-04-05	21	/7℃	20%
2023-04-06	17	/5℃	20%
2023-04-07	19	/6℃	7%
2023-04-08	21	/8℃	7%
2023-04-09	21	/9℃	23%
2023-04-10	22	/11℃	17%
2023-04-11	17	/8℃	20%
2023-04-12	17	/8℃	27%
2023-04-13	21	/9℃	3%
2023-04-14	22	/9℃	10%
2023-04-15	23	/12℃	13%
2023-04-16	20	/9℃	17%
2023-04-17	21	/11℃	13%
2023-04-18	18	/12℃	13%
2023-04-19	20	/11℃	20%
2023-04-20	16	/8℃	23%
2023-04-21	19	/9℃	27%
2023-04-22	18	/9℃	23%
2023-04-23	19	/10℃	10%
2023-04-24	21	/11℃	17%
2023-04-25	22	/12℃	17%
2023-04-26	22	/9℃	20%
2023-04-27	21	/10℃	13%
2023-04-28	22	/11℃	27%
2023-04-29	21	/10℃	27%
2023-04-30	23	/11℃	10%
2023-05-01	25	/13℃	23%
2023-05-02	27	/14℃	20%
2023-05-03	27	/14℃	13%
2023-05-04	26	/14℃	13%
2023-05-05	24	/13℃	17%
2023-05-06	26	/13℃	17%
2023-05-07	27	/16℃	20%
2023-05-08	28	/14℃	0%
2023-05-09	25	/15℃	20%
2023-05-10	23	/14℃	10%
2023-05-11	27	/15℃	37%
2023-05-12	25	/13℃	37%
2023-05-13	26	/15℃	7%
2023-05-14	27	/16℃	33%
2023-05-15	27	/14℃	27%
2023-05-16	28	/15℃	23%
2023-05-17	27	/16℃	30%
2023-05-18	26	/16℃	27%
2023-05-19	28	/17℃	10%
2023-05-20	29	/17℃	17%
2023-05-21	28	/17℃	20%
2023-05-22	28	/18℃	23%
2023-05-23	30	/18℃	20%
2023-05-24	31	/19℃	20%
2023-05-25	29	/18℃	23%
2023-05-26	29	/18℃	20%
2023-05-27	30	/18℃	20%
2023-05-28	28	/18℃	27%
2023-05-29	30	/20℃	20%
2023-05-30	32	/19℃	20%
2023-05-31	32	/20℃	30%
2023-06-01	30	/19℃	30%
2023-06-02	29	/18℃	13%
2023-06-03	28	/19℃	20%
2023-06-04	30	/19℃	23%
2023-06-05	29	/19℃	33%
2023-06-06	30	/20℃	23%
2023-06-07	28	/19℃	27%
2023-06-08	30	/19℃	30%
2023-06-09	30	/19℃	30%
2023-06-10	30	/19℃	27%
2023-06-11	28	/18℃	3%
2023-06-12	28	/18℃	17%
2023-06-13	31	/20℃	27%
2023-06-14	31	/20℃	30%
2023-06-15	31	/21℃	37%
2023-06-16	32	/21℃	43%
2023-06-17	29	/20℃	47%
2023-06-18	30	/22℃	30%
2023-06-19	31	/20℃	40%
2023-06-20	31	/22℃	33%
2023-06-21	32	/22℃	43%
2023-06-22	32	/22℃	40%
2023-06-23	28	/20℃	43%
2023-06-24	29	/20℃	43%
2023-06-25	29	/21℃	33%
2023-06-26	28	/22℃	33%
2023-06-27	31	/22℃	33%
2023-06-28	32	/22℃	50%
2023-06-29	30	/22℃	43%
2023-06-30	30	/23℃	43%
2023-07-01	32	/24℃	40%
2023-07-02	29	/22℃	23%
2023-07-03	33	/23℃	33%
2023-07-04	35	/25℃	40%
2023-07-05	35	/24℃	52%
2023-07-06	33	/24℃	37%
2023-07-07	33	/23℃	37%
2023-07-08	31	/24℃	47%
2023-07-09	33	/23℃	57%
2023-07-10	30	/23℃	33%
2023-07-11	29	/22℃	37%
2023-07-12	31	/23℃	33%
2023-07-13	31	/23℃	52%
2023-07-14	31	/23℃	52%
2023-07-15	32	/23℃	37%
2023-07-16	29	/23℃	27%
2023-07-17	33	/23℃	43%
2023-07-18	31	/24℃	52%
2023-07-19	31	/25℃	47%
2023-07-20	31	/24℃	47%
2023-07-21	32	/25℃	40%
2023-07-22	32	/24℃	40%
2023-07-23	32	/24℃	47%
2023-07-24	32	/25℃	47%
2023-07-25	34	/25℃	47%
2023-07-26	33	/25℃	30%
2023-07-27	32	/25℃	50%
2023-07-28	31	/25℃	50%
2023-07-29	35	/25℃	40%
2023-07-30	33	/24℃	23%
2023-07-31	32	/23℃	50%
2023-08-01	31	/23℃	57%
2023-08-02	30	/23℃	43%
2023-08-03	32	/24℃	47%
2023-08-04	32	/23℃	50%
2023-08-05	31	/23℃	43%
2023-08-06	32	/24℃	52%
2023-08-07	32	/23℃	37%
2023-08-08	31	/23℃	40%
2023-08-09	33	/24℃	40%
2023-08-10	33	/24℃	52%
2023-08-11	34	/25℃	40%
2023-08-12	31	/23℃	43%
2023-08-13	31	/23℃	52%
2023-08-14	29	/22℃	37%
2023-08-15	31	/22℃	37%
2023-08-16	32	/23℃	37%
2023-08-17	33	/24℃	33%
2023-08-18	32	/23℃	20%
2023-08-19	30	/21℃	40%
2023-08-20	31	/23℃	33%
2023-08-21	32	/22℃	37%
2023-08-22	30	/20℃	37%
2023-08-23	29	/21℃	20%
